,timestamp,HR,co2,noise,humidity,stress,sleepscore,fatigue,mood,focus,relaxation,fluidintake,caffeineintake,productivity,activityintensity,foodintake,food,activitytype,company,location,Filter A,Filter B,Filter B2
0,2025-09-01T08:00:00,2,6,4,2,3,6,5,2,3,5,4,1,6,1,6,fruit,yoga,relatives,park,Yes,Yes,Yes
1,2025-09-01T10:00:00,2,4,3,4,6,7,4,3,2,5,4,1,2,2,7,fruit,tennis,friends,cafe,Yes,Yes,Yes
2,2025-09-01T12:00:00,5,2,6,3,1,7,7,3,6,4,5,2,4,6,1,cracker,golf,friends,cafe,Yes,Yes,Yes
3,2025-09-01T14:00:00,2,6,7,1,4,4,2,1,4,1,5,2,1,5,3,milk,tennis,relatives,home,,,
4,2025-09-01T16:00:00,5,7,1,5,1,3,7,2,2,5,2,3,2,3,5,yoghurt,walk,strangers,park,Yes,,
5,2025-09-01T18:00:00,2,3,5,6,3,2,4,5,5,2,1,3,3,1,4,bread,tennis,relatives,park,Yes,,
6,2025-09-01T20:00:00,7,3,2,4,7,7,2,4,5,4,3,3,1,5,6,milk,walk,strangers,home,Yes,,
7,2025-09-01T22:00:00,5,6,4,4,6,4,6,2,6,4,6,3,2,4,4,fruit,bike,relatives,office,Yes,,
8,2025-09-02T00:00:00,3,5,3,3,4,1,6,6,3,2,2,3,4,1,3,oatmeal,golf,partner,street,Yes,,
9,2025-09-02T02:00:00,1,7,1,3,3,7,6,1,3,5,5,3,5,7,7,fruit,bike,neighbours,home,Yes,,
10,2025-09-02T04:00:00,6,5,4,1,3,5,4,1,4,1,3,5,3,2,3,yoghurt,tennis,friends,cafe,Yes,,
11,2025-09-02T06:00:00,6,2,5,1,4,5,5,5,2,2,6,3,2,6,5,oatmeal,swim,neighbours,office,Yes,,
12,2025-09-02T08:00:00,3,7,7,3,4,4,5,6,2,5,1,4,4,4,3,fruit,tennis,partner,street,,,
13,2025-09-02T10:00:00,2,6,6,2,3,2,5,6,6,3,2,5,2,5,1,fruit,golf,relatives,office,Yes,,
14,2025-09-02T12:00:00,7,6,3,1,1,6,3,5,5,4,5,6,5,2,4,oatmeal,bike,partner,street,Yes,,
